0, 2.5283  -0.00002  0.00012  0.00261  0.0293  0.16643  0.47968  0.72706  0.63383  0.36855  0.38829  0.52677  0.37223  0.13156  0.02324  0.0021  0.00005  -0.00001;
1, 3.0726  0.00001  0.00009  0.00244  0.02725  0.14905  0.40472  0.55036  0.3638  0.01186  -0.41377  -0.8052  -0.63818  -0.23974  -0.04419  -0.00398  -0.00027  -0.00001;
2, 6.99565  -0.00007  -0.00067  -0.01247  -0.10997  -0.43939  -0.70622  -0.18043  0.60791  0.64073  0.38518  -0.0704  -0.40839  -0.26108  -0.06582  -0.00735  -0.00056  -0.00004;
3, 9.18209  0.00001  -0.00098  -0.0157  -0.12034  -0.39351  -0.4169  0.18141  0.43037  -0.08638  -0.65045  -0.32588  0.62947  0.61558  0.18916  0.02463  0.00134  0.00003;
4, 12.6457  0.00004  0.00345  0.0494  0.30308  0.68369  0.18376  -0.60687  0.10396  0.64009  0.11574  -0.44119  0.12011  0.50121  0.22369  0.03675  0.00226  0.00002;
5, 15.872  -0.00028  -0.00604  -0.07371  -0.35838  -0.5155  0.22444  0.27583  -0.47099  0.09063  0.60096  -0.31142  -0.29209  0.63683  0.44732  0.09231  0.00769  0.00026;
6, 19.342  0.00075  0.01557  0.15576  0.56858  0.38733  -0.54145  0.24011  0.23034  -0.57186  0.17441  0.22699  -0.46692  0.32879  0.49074  0.13445  0.0137  0.00058;
7, 23.0159  0.00123  0.02819  0.22752  0.58065  -0.00249  -0.36176  0.47027  -0.38081  0.07519  0.4424  -0.51534  0.39021  0.00824  -0.64079  -0.2519  -0.03028  -0.0013;
8, 26.6294  0.00332  0.05641  0.36361  0.59548  -0.35837  0.0377  0.19952  -0.3928  0.51902  -0.35682  0.16737  0.04538  -0.33788  0.55511  0.34167  0.05046  0.00235;
9, 30.5037  -0.00644  -0.09553  -0.46738  -0.38136  0.48874  -0.41341  0.32842  -0.22479  0.05987  0.25485  -0.35516  0.43424  -0.51147  0.39561  0.49064  0.09458  0.00515;
10, 34.2703  -0.0144  -0.16129  -0.58228  -0.09128  0.34949  -0.41125  0.43164  -0.45335  0.48273  -0.44011  0.41134  -0.39519  0.33918  -0.08696  -0.57091  -0.14497  -0.009;
11, 38.2667  0.02397  0.2458  0.60406  -0.24498  0.04889  -0.00436  0.03191  -0.05965  0.04948  0.06832  -0.04433  0.00738  -0.04026  0.25309  -0.62229  -0.21579  -0.01498;
12, 42.2012  0.04933  0.3539  0.53425  -0.47283  0.38758  -0.40116  0.42985  -0.45129  0.4618  -0.44659  0.4294  -0.3865  0.36895  -0.46994  0.56295  0.27863  0.02149;
13, 46.3621  -0.07783  -0.47484  -0.33413  0.44337  -0.4324  0.35567  -0.2346  0.07168  0.07063  -0.11187  0.27257  -0.38853  0.43243  -0.49297  0.42092  0.33436  0.02891;
14, 50.5755  0.14275  0.57756  0.01715  -0.17837  0.08858  0.08798  -0.30639  0.43075  -0.43956  0.39269  -0.20186  -0.0335  0.20208  -0.32815  0.23389  0.36019  0.03479;
15, 55.0932  -0.21457  -0.64065  0.30537  -0.25555  0.339  -0.45507  0.36695  -0.11582  -0.1624  0.34544  -0.43073  0.33628  -0.14086  -0.08297  0.05663  0.35235  0.03776;
16, 59.8065  -0.34627  -0.56555  0.52341  -0.46455  0.43297  -0.1588  -0.20182  0.43838  -0.3828  0.12597  0.22312  -0.45114  0.40111  -0.12909  0.06995  -0.33175  -0.03903;
17, 64.7675  0.46681  0.35541  -0.40224  0.30192  0.04207  -0.36491  0.4115  -0.02992  -0.36818  0.43107  -0.17751  -0.2911  0.50048  -0.26836  0.14804  -0.2989  -0.03845;
18, 69.958  -0.61973  0.02072  0.03725  0.22974  -0.42991  0.30755  0.22357  -0.44537  0.12211  0.2859  -0.44351  -0.00629  0.46656  -0.33703  0.19026  -0.26968  -0.03786;
19, 75.3575  0.66266  -0.37562  0.42086  -0.45603  0.22863  0.34335  -0.36179  -0.18312  0.44493  -0.11527  -0.43583  0.25129  0.34939  -0.34526  0.2038  -0.24034  -0.03662;
20, 81.0449  -0.62527  0.5602  -0.44441  0.15679  0.40415  -0.28817  -0.31716  0.32239  0.28426  -0.42063  -0.22864  0.39603  0.2118  -0.31526  0.19786  -0.21177  -0.03469;
21, 87.0194  -0.3218  0.32102  -0.04798  -0.44495  0.26231  0.34871  -0.22535  -0.43257  0.12782  0.46536  -0.02575  -0.43191  -0.09699  0.27326  -0.18426  0.18813  0.03277;
